order_id,customer_id,product,quantity,price,order_date
1001,1,Laptop,1,999.99,2024-01-15
1002,2,Mouse,2,25.50,2024-01-16
1003,3,Keyboard,1,75.00,2024-01-17
1004,1,Monitor,2,350.00,2024-01-18
1005,4,Headphones,1,150.00,2024-01-19
1006,5,Webcam,1,89.99,2024-01-20
1007,2,USB Cable,3,12.99,2024-01-21
1008,6,Desk Lamp,1,45.00,2024-01-22
1009,7,Office Chair,1,299.99,2024-01-23
1010,8,Standing Desk,1,599.99,2024-01-24
1011,3,Laptop Stand,1,39.99,2024-01-25
1012,9,External SSD,1,129.99,2024-01-26
1013,10,Graphics Tablet,1,249.99,2024-01-27
1014,4,Microphone,1,179.99,2024-01-28
1015,11,Ring Light,1,65.00,2024-01-29
